  109481 2020029 20617071 dataset/fp.log
seed_entry_num,expand_ratio,trainTime(s),model_size(B),compress_time(s),data_size(B),data_ratio(%),total_ratio(%),decompress_time(s)
109,1000,0.014792,14742,7.715049,2307628,11.19280231415995,11.264306166477285,1.714148
219,500,0.027467,25415,7.536316,2173726,10.543330815516908,10.666602448039297,1.687044
547,200,0.033174,54158,7.296178,2047089,9.929097105985619,10.191782334163761,1.687694
1095,100,0.077351,105297,7.021603,1942507,9.421837854659374,9.93256510587755,1.649184
2190,50,0.130331,178270,6.961798,1861766,9.030215785743765,9.894887590967699,1.832173
5474,20,0.288412,268744,6.53948,1763538,8.553775655135494,9.857277980950835,1.642572
10948,10,0.490583,399882,6.469017,1697009,8.23108675330264,10.170654211745209,1.657193
21896,5,0.931968,591032,6.229801,1646403,7.985629966545685,10.852341731761994,1.663803
54741,2,2.311524,1118968,6.057476,1559707,7.565124066362287,12.992509944792838,1.6277
109481,1,4.761856,1740114,5.653689,1492505,7.2391708793164655,15.679331947782496,1.670039
